date,FDC_portal/Proposals/2012-2013_round2,FDC_portal/Proposals/2012-2013_round2/Example,FDC_portal/Proposals/2012-2013_round2/Example/Letter_of_intent,FDC_portal/Proposals/2012-2013_round2/Example/Progress_report_form,FDC_portal/Proposals/2012-2013_round2/Example/Progress_report_form/Q1,FDC_portal/Proposals/2012-2013_round2/Example/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Australia,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Australia/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Czech_Republic,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Czech_Republic/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Czech_Republic/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/Wikimedia_France,FDC_portal/Proposals/2012-2013_round2/Wikimedia_France/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Hong_Kong,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Hong_Kong/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Hong_Kong/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norge,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norge/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norge/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norway,FDC_portal/Proposals/2012-2013_round2/Wikimédia_France,FDC_portal/Proposals/2012-2013_round2/Wikimédia_France/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimédia_France/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/test/test
2013/01/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
